YEAR,EXPV,PPRC,WPRC,PROD,CEXP,AHAV,RNFL,MENT,MINT,MAXT,PPT,CO2,GDP,EXCR,INFL
1960,62741318.9,0.03,493,439159,411095,1792000,1482.43,26.44,21.92,30.96,1082.25,1463.13,182.98,0,16.52
1961,61218892.8,0.03,477,415186,442845,1756000,1285.48,26.42,21.86,30.98,1088.75,1345.79,189.71,0,14.99
1962,61251648.22,0.03,522,428018,428513,1800000,1487.58,26.39,21.97,30.82,1073,1433.8,195.12,0,17.86
1963,68193881.85,0.03,522,427782,437561,1820000,1780.75,26.88,22.4,31.39,1091.5,1723.49,210.97,0,16.7
1964,78351380.9,0.03,389,591031,522691,1848000,1229.61,26.23,21.84,30.63,1069.25,1650.15,230.43,0,10.42
1965,50081537.36,0.02,491,415753,446678,1830000,1381.65,26.4,21.97,30.83,1077.5,1705.16,266.32,0,26.44
1966,62072911.6,0.02,569,381353,369922,1350000,1397.03,26.88,22.44,31.35,1100.5,1441.13,269.46,0,13.24
1967,76316889.6,0.02,644,430665,378556,1450000,1261.11,26.47,22.05,30.92,1083.5,1496.14,216.84,0,-8.42
1968,78481001.92,0.02,913,355588,319444,1300000,2055.85,26.75,22.37,31.15,1076.75,1763.83,202.76,0,7.89
1969,112711907.7,0.03,730,417457,360990,1450000,1259.92,26.88,22.56,31.23,1078.25,1690.49,233.65,0,7.32
1970,77858897.16,0.03,586,427894,342267,1451000,1220.95,26.8,22.48,31.15,1085.25,2625.57,257.65,0,3.03
1971,117845884.5,0.03,583,469864,470499,1500000,1285.05,26.05,21.61,30.52,1075,2295.54,273.82,0,9.56
1972,120558993.3,0.04,1014,421843,402709,1450000,1286.92,26.35,22.04,30.71,1072.25,2423.89,232.54,0,10.07
1973,138867756,0.04,1455,354871,294836,1400000,1250.98,26.86,22.25,31.49,1110.5,2475.23,263.69,0,17.68
1974,201541297.8,0.06,1331,361283,328843,1400000,1374.98,26.4,21.87,30.93,1092,2937.27,301.37,0,18.13
1975,187610631.7,0.06,1655,400321,338092,1400000,1325.08,26.29,21.71,30.88,1091,2746.58,285.83,0,29.82
1976,259545587.8,0.07,3632,324111,268037,1300000,1263.98,26.05,21.66,30.47,1064.5,2434.89,275.88,0,56.08
1977,376655124.8,0.13,3283,271339,232923,1200000,983.69,26.72,22.29,31.17,1091.25,3003.27,313,0,116.45
1978,797948277.3,0.27,3504,265076,221053,1200000,1234.74,26.36,22.03,30.7,1061.75,2970.27,353.71,0,73.09
1979,875218080,0.4,2825,296419,253000,1200000,1552.71,26.8,22.51,31.11,1070,2658.58,381.04,0,54.44
1980,536340182,0.4,2098,257974,240100,1200000,1328.68,26.56,22.3,30.83,1067.25,2559.57,411.52,0,50.07
1981,377013747,1.2,1868,224882,230780,1200000,1259.19,26.85,22.41,31.29,1095,3047.28,379.8,0,116.5
1982,245172687.1,1.2,1949,178626,162479,900000,1069.52,26.69,22.26,31.12,1084.75,3043.61,351.32,0,22.3
1983,270458991.8,2,2412,158956,148973,800000,892.23,27.11,22.49,31.72,1118,3656,341.09,0,122.87
1984,352772608.3,3,2222,174809,162122,800000,1388.83,27.08,22.44,31.74,1111.75,2581.57,358.4,0,39.67
1985,491758664.1,5.66,2149,219034,193170,900000,1337.11,26.81,22.23,31.37,1101.75,3325.97,354.22,0.01,10.31
1986,486827861.5,8.5,2023,227765,205397,912000,1113.75,26.78,22.2,31.36,1096.5,3047.28,437.09,0.01,24.57
1987,354288724,15,1707,188171,154585,739371,1333.99,27.6,23.14,32.07,1118,3285.63,376.46,0.02,39.82
1988,455667728,16.5,1344,300101,281200,720071,1271.88,27.35,22.81,31.94,1123,3450.65,375.23,0.02,31.36
1989,300288739.8,17.44,1193,295051,226580,700286,1329.15,27.11,22.48,31.75,1120.5,3344.3,369,0.03,25.22
1990,336957773.6,22.4,1193,293352,245210,693249,1139.93,27.15,22.63,31.67,1104.75,3817.35,402.59,0.03,37.26
1991,321149039,25.12,1166,242817,254444,720898,1222.75,26.92,22.76,31.09,1070.25,3934.69,438.52,0.04,18.03
1992,267907962.5,25.8,1051,312123,231106,720898,946.16,26.8,22.47,31.17,1090.75,3982.36,414.56,0.04,10.06
1993,297274520.8,30.8,1370,254653,261074,702061,1178.11,26.98,22.56,31.42,1094,4547.08,375.07,0.06,24.96
1994,386288261,70,1440,309454,256088,686531,1160.18,26.97,22.75,31.22,1084.25,4954.12,333.22,0.1,24.87
1995,451378080.4,84,1438,403872,330646,1000000,1297.78,27.38,22.8,31.99,1115.25,5276.81,385.73,0.12,59.46
1996,389037721.5,120,1556,322488,266550,1050000,1280.91,27.18,22.92,31.49,1124,5610.51,403.92,0.16,46.56
1997,525344708.2,180,1711,409383,316109,1074970,1269.01,27.1,22.7,31.51,1111.5,6365.91,392.25,0.2,27.89
1998,527918252,225,1298,397675,354260,1364530,1019.3,27.68,23.23,32.17,1126.25,6402.58,416.33,0.23,14.62
1999,406240575,225,919,436947,360250,1300000,1286.93,27.09,22.68,31.54,1110.5,6549.26,419.89,0.27,12.41
2000,299811778.4,347.5,990,389772,306375,1500000,1029.03,27.21,22.58,31.86,1132.75,6288.91,264.7,0.54,25.19
2001,338338360,620,1580,340562,290508,1350000,1185.28,27.02,22.51,31.57,1121.75,6919.63,275.47,0.72,32.91
2002,669394822,850,1873,496846,348651,1195000,1390.12,27.03,22.57,31.53,1105,7422.01,311.62,0.79,14.82
2003,1042053083,900,1534,736975,642331,1500000,1262.61,27.25,22.85,31.67,1105.25,7631.03,375.88,0.87,26.67
2004,807819997.8,900,1571,599317.69,536440,2000000,1201.9,27.29,23.12,31.5,1062.25,7348.67,426.16,0.9,12.62
2005,834272280.2,900,1557,740457.63,642650,1850000,1184.32,27.31,22.98,31.65,1079,6992.97,501.72,0.91,15.12
2006,990765000,915,1854,614531.63,551652,1835000,1136.47,27.1,22.75,31.49,1104.5,9358.18,929.73,0.92,10.92
2007,1157920333,950,2516,680781.06,547674,1463000,1526.25,27.17,22.64,31.75,1087.75,9827.56,1099.02,0.94,10.73
2008,1408955760,1632,2599,710642.19,525536,1822500,1443.82,26.87,22.38,31.44,1065.25,9138.16,1234.08,1.06,16.52
2009,1659191807,2400,3246,632037.25,566761,1600000,1236.52,27.18,22.85,31.59,1083.75,7708.03,1095.5,1.41,19.25
2010,2548228653,3200,3104.5,1024554,773387.63,1600200,1373.23,27.75,23.36,32.19,1116,9955.91,1323.1,1.43,10.71
2011,2256939924,3280,2396.23,879347.9,713849.34,1600300,1255.82,27.31,22.92,31.77,1098.5,9831.23,1587.19,1.51,8.73
2012,1618531670,3392,2359.21,835466.19,649123.02,1600300,1231.27,27,22.67,31.35,1061.75,11877.41,1641.83,1.8,9.16
2013,1757491724,3392,2978.99,896219.62,721221.93,1600300,1165.48,27.04,22.98,31.77,1092.08,14620.33,1827.1,1.95,11.61
2014,1790984681,5600,3048.1,740254,611554.26,1683765,1287.78,27.08,22.86,31.63,1084.11,12109.66,1441.64,3.03,15.49
